,text,populer_text,populer_retweet,populer_favorite,Populer
46, الهُ اكبر شاهد مقطع الفيديو الخاص يظهر شرطة الكيان الصهيوني يعدم شاب فلسطيني في باب العمود بمدينة القدس المحتلة العراق,False,False,False,UnPopuler
47,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
48,بن دبكة الذي تالق في كاس عرب و قدم اضافة كبيرة جدا مكان بوداوي الذي يلعب في نادي نيس ايهما افضل وتراه يقدم دعما ,False,False,True,Populer
49, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,False,True,False,Populer
50, ريتويت اذا كنت متفق ان منتخب المغرب في كرة القدم هو برازيل عرب   كاس عرب كاس عربقطر كاس,False,True,False,Populer
51, الف مبروك بتواجد مع المنتخب الاول ويعود تواجدك ضمن القائمة بالمستوي الرائع الذي قدمته بطولة كاس عرب بالتوفيق ان شاء اله,False,False,False,UnPopuler
52, الموقع الرسمي ل كاس عالم الاعب اوليفاركاوسكاو من ابرز المواهب عربية القادمة والّتي اثبت تالقها بطولة ,False,False,False,UnPopuler
53,الموقع الرسمي ل كاس عالم الاعب اوليفاركاوسكاو من ابرز المواهب عربية القادمة والّتي اثبت تالقها ب ,False,False,True,Populer
54, فيفا يختار احمد رفعت ضمن ابرز الاعبين الذين شاركوا في كاس عرب ,False,False,False,UnPopuler
55, ابارك لمنتخب جزائر فوزه المستحق بكاس عرب كانت بطولة ميزة عكست تطور الكرة عربية ونتطلّع لقائكم العام الق,False,True,False,Populer
56,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
57, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,False,True,False,Populer
58, واله بجد بزعل لما الاقي منتخبات بامكانيات اقل بسنين ضوئية عن مصر بتعرف تطلع جيل ياكل ال ,False,False,False,UnPopuler
59, بيقلدوا فريق جزائر الذي اهدي كاس عرب لفلسطين و هم و المغرب عربي اجمع لم يقدموا شيء لقضية الفلس ,False,False,False,UnPopuler
60, كاس عرب ا,False,False,False,UnPopuler
61,منتخب قطر الاولي خليجيًا في تصنيف الفيفا عالمي كاس عرب كاس عالم ,False,False,False,UnPopuler
62,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
63,  ⃣الاسطورة محمد الدعيع يدافع عن قرار عدم العب بالفريق الاساسي في كاس عرب لان الهدف الرئيسي هو التاهل لكاس عالم وم,False,False,False,UnPopuler
64,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
65, خاص   نادي العين الاماراتي مهتم بالتعاقد مع بدربانون واكد لي احد المصادر الخبر منذ فترة وان المفاوضات والاتصالات,False,False,False,UnPopuler
66,ليس هناك فخرا لي مثلك يا سفيرتنا الغاليه نفخر ونفتخر بالفنانة السعوديه المبدعه سلوي حجر بحصولها علي الفوز في بطو ,False,False,False,UnPopuler
67, حظوظه قوية جدا واصبحت اقوي بعد عودة براهيمي وكذلك العديد من الاعبين من الرديف الذين اثبتو جدارتهم في كاس عرب,False,False,False,UnPopuler
68, افضل فريق عربي بعد الفريق الرديف جزائر الحاصل علي كاس عرب هو الفريق جزائر الاول الحاصل علي كاسافريقيا,True,False,True,Populer
69, من النجوم الذين تالقوا في كاس عرب   هل توافقون   ,False,False,False,UnPopuler
70,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
71, فيفا يختار احمد رفعت ضمن ابرز الاعبين الذين شاركوا في كاس عرب ,False,False,False,UnPopuler
72, قوليا اولدي كيفاش عرفتيني انا هو الرئيس الفعلي لجزائر بلايلي يرد عالم كله يعرف ان جزائر يسيرها العسكر  ,False,False,False,UnPopuler
73, سمو الشيخ جاسم بن حمد بن خليفه ال ثاني هو يستحق لقب شخصية عام م بعد النجاح الباهر الذي حقه في تنظيم ك,False,False,False,UnPopuler
74, سمو الشيخ جاسم بن حمد بن خليفه ال ثاني هو يستحق لقب شخصية عام م بعد النجاح الباهر الذي حقه في ,False,False,True,Populer
75, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,False,True,False,Populer
76,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
77,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
78, دحيم مايدري وش يسوي كاس عرب ساميالجابر نوافالتمياط الفيفا كاس عالملاندية الهلالالنصر جخير چمعان شيهان م,False,False,False,UnPopuler
79, مضر واصحاب المستوي الرفيع في كرة القدم كاس عرب ساميالجابر نوافالتمياط الفيفا كاس عالم,False,True,False,Populer
80,نحن الكرة استبليت بنا ما نحن استبلينا بها وانا اشاهد ملاعب كاس عرب لي في قطر احس فيني غصة كشخص متابع لرياضة ,False,False,False,UnPopuler
81,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
82,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
83, بقمصان مطبوع عليها اعلام الدول بما فيها علم «اسرائيل» محمد ابوتريكة يغيب عن مباراة استعراضية جمعت نجوم عرب ضد نجو,False,False,False,UnPopuler
84, محاربو الصحراء يواصلون الانتصارات ويرفعون كاس عرب لاول ة بعد اداء رائع خلال البطولة  وفي لفته رائعه«الكاسهدية م,False,False,False,UnPopuler
85, وجهكم قلبكم كي عادت كاس عرب برك,False,False,False,UnPopuler
86, وبحكم انه كاس عرب مولود جديد لقطر بسنة,False,False,False,UnPopuler
87, قبل بطولة كاس عرب انتشر تقرير رقمي باخطاء رقمية كارثية منها مش حاطين اسم بشارعبداله الي سجل اهداف اختراع لاع,False,False,False,UnPopuler
88, قبل بطولة كاس عرب انتشر تقرير رقمي باخطاء رقمية كارثية منها مش حاطين اسم بشارعبداله الي سجل اهداف اختراع لاع,False,False,False,UnPopuler
89,قبل بطولة كاس عرب انتشر تقرير رقمي باخطاء رقمية كارثية منها مش حاطين اسم بشارعبداله الي سجل اهداف ا ,False,False,True,Populer
90,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
91, فيما كوريا الشرقية هازين كاس عرب يدورو يتصورو معاه الدق تم خدام  سمعو الجديد وجهت جامعة الدول عربية مذكرة الي,False,False,False,UnPopuler
92,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
93,افه ال ء اثنتان الف كاسوحب كيس والنفوس اليا بغيت تعرفها ارم الفلوس ينكشف زيف الشعارات لا حمي الوطيس ترجع الاذ ,False,False,False,UnPopuler
94,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
95, فرحة بلايلي من زاوية اخري كاس عرب ,False,False,False,UnPopuler
96,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
97, قائمة منتخب جزائر جمال بلماضي مزج ما بين كاس عرب وباقي المجموعة التي تلعب معه باست ار   ,True,False,False,Populer
98, م شرفي من لاعبي فريق نادي قطر الريان لثنائي ياسين براهيمي جمال بلع ي بعد تويجهما رفقة جزائر بلقب كاس عرب ,True,False,False,Populer
99,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,True,True,False,Populer
100, هذه قطر التي احتضنت كاس عرب وقريبا ستحتضن كاس عالم فقط كيف هو حال البلدان عربية الافريقية التي شاركت في البطولة وخ,False,False,False,UnPopuler
101,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
102,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
103,ناديسباقاتالخيل كاسوليالعهد سباق الخيل علي كاسي سمو ولي العهد بنسخته ال صحيفة نبض عرب ,False,False,False,UnPopuler
104, الم غلق الحدود وقطع الغاز واسقاط طائرات الاطفال كاميكاز وزيدلهم كاس عرب جزائر لا تكلم وتسب جزائر تعرف غير الميدان,False,False,False,UnPopuler
105, بالدوري القطري هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب كاس عرب رفقة منتخب بلادهما جزائر ,True,False,False,Populer
106, ه علاه حابين تكذبو علي رواحكم قاله نصف التشكيلة بعض الاعبين تالقوا في كاس عرب فت ,False,False,False,UnPopuler
107,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
108, لوسيل انفوجرافيك كاس عرب مكاسب تنظيمية واقتصادية ,False,False,False,UnPopuler
109, بالدوري القطري هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب كاس عرب رفقة منتخب بلادهما جزائر ,True,False,False,Populer
110,بالدوري القطري هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب كاس عرب رفقة منتخب بلادهما جزائر ,True,False,True,Populer
111,ومازال العرض مست ا مازال الخطيب والاهلي في رعب من لقاء بيراميدزومكن يلغوا الدوري كمان ولن تصلح الري ,False,False,False,UnPopuler
112,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
113,نصفهم من الذين شاركوا في كاس عرب في قطر هكذا يتم الاستفادة من البطولات تجهيز لاعبين تحتاجهم قريباً وليس بع ,False,False,False,UnPopuler
114, خاص   نادي العين الاماراتي مهتم بالتعاقد مع بدربانون واكد لي احد المصادر الخبر منذ فترة وان المفاوضات والاتصالات,False,False,False,UnPopuler
115, محرز بعد غيابه عن كاس عرب يتوعد بالتوهج في كاسالامالافريقية قريباً ان شاء اله   ملعبلكلالر,False,False,False,UnPopuler
116, يا احمد ملهاش علاقه بالوطنية اصلهم مش هيحاربوا ولا ع الجبهة زي ما لاعبي ال ,False,False,False,UnPopuler
117, الشباب المسؤولين عن تنظيم كاس عرب  ,False,False,False,UnPopuler
118, شي رائع اله يحمي قطر وامير قطر وحكومة قطر وشعب قطر كاس عالم فخر عرب علي ارض قطر  ,True,False,False,Populer
119,محرز بعد غيابه عن كاس عرب يتوعد بالتوهج في كاسالامالافريقية قريباً ان شاء اله   ,False,False,True,Populer
120,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
121, انها دولة قطر المتحضرك و الشعب القطري المتربي وليس الغياربن الي طالبوا بطرد الاعبين جزائرين من ,False,False,False,UnPopuler
122, عماد السالمي محمد القحطاني من الهلال وهيثم عسيري من الاهلي من نتاج المشاركة في بطولة كاس عرب لو خسرنا المبارا,False,True,False,Populer
123,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,True,True,False,Populer
124, الشئ المتفق عليه عند كبار الخبراء و المحلين و المنطق و كل عالم يضع متوج بكاسافريقيا و كاس عرب مؤ ,False,False,True,Populer
125,معلول بدا الموسم بالدوري مع الاهلي وبعدها تصفيات كاس عالم مع منتخب تونس وبعدها كاس عرب مع تونس تاني وبعدها السو ,False,False,False,UnPopuler
126,المنتخبجزائر لاعب يزيح لاعب لاعبين تالقو في كاس عرب ضمنو مكانة في المنتخب الاول وازاحو لاعبين مثل بوداوي وتوبة ,False,False,False,UnPopuler
127, الاربعه اصلا من الفريق الاول وشاركو في كاس عرب البقية لي شاركو كاس عرب هم احتياط لنجوم الاساسين,False,False,False,UnPopuler
128, العب كوره انت غايب عن كاس عرب المنتخبات بشكل واضح ,False,False,False,UnPopuler
129, célé Algé aprè gagné    ,False,False,False,UnPopuler
130,المنتخبجزائر عرب الا مهدروش علينا ورشحونا نروحو بعيد كيما كاس عرب مكانوش شحينا لقب والا هدرو راني نخاف ,False,False,False,UnPopuler
131, اله اكبر تاخر راتب الاعب وماهو يعرف يلعب والراتب لبعضهم نصف مليون ريال وفي حسابه ملاين ,False,False,False,UnPopuler
132,   جزائر كاس عرب ك,False,False,False,UnPopuler
133, لا يوجد احد اقوي من احد منتخب حق كاس عرب ومنتخب حق كاسافريقيا و كل لاعب ينافس علي كزه,False,False,False,UnPopuler
134, مباريات كاس عرب لا تحسب ضمن سلسلة الاهزيمة رجاءا لا تنشورو معلومات مغلوطة ,False,False,False,UnPopuler
135, لوسيل انفوجرافيك كاس عرب مكاسب تنظيمية واقتصادية ,False,False,False,UnPopuler
136,في الوقت الذي تدك فيه برقه مازال كاس عرب يتجول ما بين مسؤولي جزائر الاشاوس في انتظار تقديمه الي فلسطين في ,False,False,False,UnPopuler
137, جمال بلماضي مدرب منتخب جزائر يعلن قائمة منتخب بلاده المشاركة في كاسام افريقيا الكاميرون وعودة ياسين براهيمي لا,True,False,False,Populer
138,اصبحنا واصبح الملك له والحمد له لا شريك له لا اله الا هو واليه النشور المسجدالحرام المسجدالنبوي ,False,False,False,UnPopuler
139, عودة ابطال عرب الي الديار   استقبال حافل وتاريخي لبعثة منتخب جزائر عند عودتها الي الديار   كيف تصِف هذا الاستقبا,False,True,False,Populer
140,اصبحنا واصبح الملك له والحمد له لا شريك له لا اله الا هو واليه النشور المسجدالحرام المسجدالنبوي ,False,False,False,UnPopuler
141,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
142,قوة المنتخب الوطني جزائر  اصبحت في لياقته البدنية والخط التقنية في كاس عرب الاخيرة الفريق الذي لعب دقائق ,False,False,False,UnPopuler
143, وكانت دوما ارض قطر المضيافة فال خير علينا في وفي كاس عرب فشكرا لدولة قطر علي حسن الضيافة والكرم دولة وشعبا,True,False,False,Populer
144,   م شرفي من لاعبي فريقي قطر الريان لثنائي   جزائر ياسين براهيمي جمال ب,True,True,False,Populer
145,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
146,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
147, محمد الشناوي يحق رقم اعجازي لانه اصبح الاعب الوحيد الذي شارك في مناسبات مختلفه في عام ميلادي واحد وهي دوري عام,False,False,False,UnPopuler
148, و هناك لاعبين اساسين و ركيزة لم يشاركوا في كاس عرب لانهم ناشطين في اوروبا رامي ,False,False,False,UnPopuler
149,امين محفوظ يعتبر ان مستوي المنتخب في نهائي كاس عرب متواضع جدا بسب الفساد الرياضي التفا ,False,False,False,UnPopuler
150, الامير تميم بن حمد دون منازع علي كل ما قدمه خلال بطولة كاس عرب و الوجه الذي قدم به قطر لعرب و عالم كله اله يحفظه لكم,True,False,False,Populer
151, نعم في كاس عرب شارك باربعة لاعبين اساسين من الفريق الاول بلايلي بونجاحمبولحي ,False,False,False,UnPopuler
152,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
153, محمد الشناوي يحق رقم اعجازي لانه اصبح الاعب الوحيد الذي شارك في مناسبات مختلفه في عام ميلادي واحد وهي دوري عام,False,False,False,UnPopuler
154,هو احتفالات جزائرين   بالفوز بطولة كاس  عرب برفع علم فلسطين   برضه جزائر   اخوان ولا هي القوميه عربيه ,False,False,False,UnPopuler
155, م شرفي لابطال كاس عرب   ,False,False,False,UnPopuler
156,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
157,م شرفي لابطال كاس عرب   ,False,False,True,Populer
158, محمد الشناوي يحق رقم اعجازي لانه اصبح الاعب الوحيد الذي شارك في مناسبات مختلفه في عام ميلادي واحد وهي دوري عام,False,False,False,UnPopuler
159,عن كاس عرب وفوز جزائر ,False,False,False,UnPopuler
160,قائمة منتخب جزائر ل كاسافريقيا هل تستطيع هذه التشكيلة المحافظة علي القب ل ة الثانية علي التوالي   ,False,False,False,UnPopuler
161,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
162, الاسماء لي تشوفها تم استدعاءها لاول ة بعد التالق في كاس عرب مثل بن دبكة توجاي و شتي,False,False,False,UnPopuler
163, تكفون نبي نفهم السالفة   اوميكرون مصرلبنان كاس عرب ,False,False,False,UnPopuler
164, مكان بالمنتخب الاول عزيز جدا بالحكم المنافسة فالمناصب يعني لجزائر حوالي خمس لاعبين لكل منصب ,False,False,False,UnPopuler
165,   م شرفي من لاعبي ناديقطر و الريان لكل من ياسين براهيمي جمال بلع ي بعد فوزهما بلقب بطولة كاس عرب   ,True,False,False,Populer
166, نشرت القوات الجوية الايطالية في الفترة من نوفمبر الي ديسمبر مجموعة مهام لمنظومة ,False,False,False,UnPopuler
167, بعد كاس عرب في شخصية تستاهل ,False,False,True,Populer
168, وشيزعلك ه كيفيه التصميم نسعي دائما علي تقديم افضل النتائج الميزة لكسب ثقتكم لتواصل عزل مسابح بافضل ال,False,False,False,UnPopuler
169, وين رشيد غزال هل هو بهذا السوء حيث لم يستدعي لا لمنتخب كاس عرب ولا لتصفيات افريقيا كان معروض علي اندية سعودية وتم رفضه,False,False,False,UnPopuler
170,اعداد ما ياب الصبا ريح لانفاس طيبٍ ايطَيِّب من شذاه النسانيس يفز له قلب الشجي لي به احساس وتنام به خليا القلوب ,False,False,False,UnPopuler
171,  نحن جزائرين حملنا كاس عرب وضيعنا قاروره الزيت وكيس من الحليب وكيس من السميد والحوم البيضاء والاسماك اصبحت ش ,False,False,False,UnPopuler
172, سمو الشيخ جاسم بن حمد المثل الشخصي لسمو الامير علي التحف الي قدمها لنا ف كاس عرب,False,False,False,UnPopuler
173, الف مبروك لمنتخب جزائر  هاردلك لمنتخب تونس  نهائي مشرّف واداء رائع من الفريقين وشكراً لدولة قطر علي الاستضافة بن,False,False,False,UnPopuler
174,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
175,كاسمو وليالعهد الامير محمدبنسلمان يعبر عن ثقافة عرب عموماً والسعودين خصوصاً الفروسية رمز من رموزنا وحضور ,False,False,False,UnPopuler
176,عجبني بكاس عالم وبعدها ماعاد شفته الا بنهائي كاس عرب ,False,False,False,UnPopuler
177, ابارك لمنتخب جزائر فوزه المستحق بكاس عرب كانت بطولة ميزة عكست تطور الكرة عربية ونتطلّع لقائكم العام الق,False,True,False,Populer
178,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
179,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
180, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,False,True,False,Populer
181, قطر مش هتعدل هي كانت تريد الصلح مع الاشقاء عرب سواء بحضور مصر او من غير مصر لانها كانت ت ,False,False,False,UnPopuler
182,بعد بروزه في كاس عرب اليونايتد يرقّي التونسي حنبعل لفريق الاول الوطن الوطنتنبض صحيفة الوطن البحرين ,False,False,False,UnPopuler
183,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
184, بالعكس يا صديقي لاعبي عرب يبدعون في اندية اوروبا و كل موسم يظهر لاعب جديد و يقدم ,False,False,False,UnPopuler
185, محمد الشناوي يحق رقم اعجازي لانه اصبح الاعب الوحيد الذي شارك في مناسبات مختلفه في عام ميلادي واحد وهي دوري عام,False,False,False,UnPopuler
186, عماد السالمي محمد القحطاني من الهلال وهيثم عسيري من الاهلي من نتاج المشاركة في بطولة كاس عرب لو خسرنا المبارا,False,True,False,Populer
